DNA_ID,field_ID,genotype,group,row,end?,condition,germ,yellow,flowering,final,diameter,direction,height,leaf_num,ax_heads,notes
D262,SH_B_06,elf3,B,SH_B,middle,shade,06_14_2019,08_08_2019,08_09_2019,08_17_2019,16.4,50,100,35,3,NA
D263,SH_B_07,elf3,B,SH_B,middle,shade,06_14_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
D264,SH_B_08,elf3,B,SH_B,middle,shade,06_14_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
D265,SH_B_13,elf3,B,SH_B,middle,shade,06_14_2019,08_07_2019,08_09_2019,08_16_2019,18.4,65,98.3,34,1,NA
D266,SH_B_14,elf3,B,SH_B,middle,shade,06_14_2019,08_10_2019,08_12_2019,08_18_2019,16.4,141,106.6,35,0,NA
D267,SH_B_15,elf3,B,SH_B,middle,shade,06_14_2019,08_08_2019,08_11_2019,08_17_2019,15.9,114,96.8,33,2,NA
D268,SH_B_16,elf3,B,SH_B,middle,shade,06_14_2019,08_11_2019,08_13_2019,08_18_2019,14.5,61,127.1,35,0,NA
D269,SH_B_21,elf3,B,SH_B,middle,shade,06_14_2019,08_08_2019,08_11_2019,08_16_2019,17.5,60,116.8,31,0,NA
D270,SH_B_22,elf3,B,SH_B,middle,shade,06_14_2019,08_09_2019,08_12_2019,08_17_2019,15.7,72,115.9,30,0,NA
D271,SH_B_23,elf3,B,SH_B,middle,shade,06_14_2019,08_06_2019,08_08_2019,08_17_2019,15.4,85,105,29,4,NA
D272,SH_B_24,elf3,B,SH_B,middle,shade,06_15_2019,08_10_2019,08_12_2019,08_18_2019,17,83,129.2,33,2,NA
D273,SH_B_29,elf3,B,SH_B,middle,shade,06_15_2019,08_12_2019,08_14_2019,08_20_2019,15,108,127,41,0,NA
D274,SH_B_30,elf3,B,SH_B,middle,shade,06_15_2019,08_13_2019,08_15_2019,08_21_2019,14.7,67,124.9,37,0,NA
D275,SUN_B_01,elf3,B,SUN_B,end,sun,06_14_2019,08_05_2019,08_07_2019,08_14_2019,17,97,78.8,30,7,NA
D276,SUN_B_02,elf3,B,SUN_B,end,sun,06_14_2019,08_05_2019,08_07_2019,08_14_2019,17.6,80,77.9,32,2,NA
D277,SUN_B_03,elf3,B,SUN_B,middle,sun,06_14_2019,08_07_2019,08_09_2019,08_15_2019,14.5,88,93.5,30,3,NA
D278,SUN_B_04,elf3,B,SUN_B,middle,sun,06_14_2019,08_04_2019,08_06_2019,08_14_2019,19.2,310,84.2,29,5,NA
D279,SUN_B_09,elf3,B,SUN_B,middle,sun,06_14_2019,08_06_2019,08_07_2019,08_14_2019,18.6,121,92.1,35,6,NA
D280,SUN_B_10,elf3,B,SUN_B,middle,sun,06_14_2019,08_07_2019,08_09_2019,08_14_2019,16.5,88,86,36,5,NA
D281,SUN_B_11,elf3,B,SUN_B,middle,sun,06_14_2019,08_07_2019,08_09_2019,08_16_2019,16.7,75,89.4,41,9,NA
D282,SUN_B_12,elf3,B,SUN_B,middle,sun,06_14_2019,08_09_2019,08_11_2019,08_16_2019,18.3,81,91.1,40,2,NA
D283,SUN_B_17,elf3,B,SUN_B,middle,sun,06_14_2019,08_06_2019,08_08_2019,08_15_2019,17.9,73,89.1,35,4,NA
D284,SUN_B_18,elf3,B,SUN_B,middle,sun,06_14_2019,08_04_2019,08_05_2019,08_13_2019,19.5,82,84.6,30,8,NA
D285,SUN_B_19,elf3,B,SUN_B,middle,sun,06_15_2019,08_11_2019,08_13_2019,08_19_2019,17.3,38,105,35,2,NA
D286,SUN_B_20,elf3,B,SUN_B,middle,sun,06_15_2019,08_09_2019,08_12_2019,08_18_2019,19.6,105,96.6,43,4,NA
D287,SH_B_01,WT,B,SH_B,end,shade,06_14_2019,08_05_2019,08_07_2019,08_15_2019,18.2,39,85.7,30,4,NA
D288,SH_B_02,WT,B,SH_B,end,shade,06_15_2019,NA,NA,NA,NA,NA,NA,NA,NA,ugly
D289,SH_B_03,WT,B,SH_B,middle,shade,06_15_2019,08_01_2019,08_03_2019,08_11_2019,18.4,UP,95.3,28,2,NA
D290,SH_B_04,WT,B,SH_B,middle,shade,06_15_2019,08_04_2019,08_07_2019,08_14_2019,19.3,140,104.4,33,4,NA
D291,SH_B_09,WT,B,SH_B,middle,shade,06_15_2019,08_03_2019,08_05_2019,08_12_2019,18,60,101.9,30,0,NA
D292,SH_B_10,WT,B,SH_B,middle,shade,06_15_2019,08_04_2019,08_07_2019,08_14_2019,18.5,83,100.7,32,1,NA
D293,SH_B_11,WT,B,SH_B,middle,shade,06_15_2019,08_09_2019,08_12_2019,08_17_2019,14.6,52,130.6,32,0,NA
D294,SH_B_12,WT,B,SH_B,middle,shade,06_15_2019,08_06_2019,08_08_2019,08_15_2019,16.6,108,104.2,35,4,NA
D295,SH_B_17,WT,B,SH_B,middle,shade,06_15_2019,08_08_2019,08_10_2019,08_16_2019,17,65,111.3,36,NA,NA
D296,SH_B_18,WT,B,SH_B,middle,shade,06_15_2019,08_05_2019,08_07_2019,08_14_2019,17.3,65,101,34,3,NA
D297,SH_B_19,WT,B,SH_B,middle,shade,06_15_2019,08_05_2019,08_07_2019,08_14_2019,13.7,68,104.3,31,0,NA
D298,SH_B_20,WT,B,SH_B,middle,shade,06_15_2019,08_07_2019,08_08_2019,08_15_2019,14.1,66,114.8,30,0,NA
D299,SH_B_25,WT,B,SH_B,middle,shade,06_15_2019,08_06_2019,08_08_2019,08_16_2019,18.2,107,103.8,33,0,NA
D300,SH_B_26,WT,B,SH_B,middle,shade,06_15_2019,08_03_2019,08_06_2019,08_15_2019,18.2,65,100.1,33,2,NA
D301,SH_B_27,WT,B,SH_B,middle,shade,06_15_2019,08_03_2019,08_05_2019,08_13_2019,16.5,20,91.6,30,5,NA
D302,SH_B_28,WT,B,SH_B,middle,shade,06_15_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
D303,SH_B_31,WT,B,SH_B,middle,shade,06_15_2019,08_06_2019,08_08_2019,08_15_2019,17.8,90,102.3,29,1,NA
D304,SH_B_32,WT,B,SH_B,middle,shade,06_15_2019,08_03_2019,08_05_2019,08_13_2019,19.2,59,91.8,29,7,NA
D305,SUN_B_05,WT,B,SUN_B,middle,sun,06_14_2019,08_05_2019,08_07_2019,08_14_2019,18.2,39,94.3,33,1,NA
D306,SUN_B_08,WT,B,SUN_B,middle,sun,06_14_2019,08_02_2019,08_04_2019,08_11_2019,17.2,78,80.4,32,7,NA
D307,SUN_B_06,WT,B,SUN_B,middle,sun,06_14_2019,08_04_2019,08_06_2019,08_13_2019,,143,83.5,31,7,NA
D308,SUN_B_07,WT,B,SUN_B,middle,sun,06_14_2019,08_05_2019,08_07_2019,08_14_2019,18.1,28,89.6,37,5,NA
D309,SUN_B_13,WT,B,SUN_B,middle,sun,06_15_2019,08_03_2019,08_05_2019,08_12_2019,19.5,UP,85.1,30,5,NA
D310,SUN_B_14,WT,B,SUN_B,middle,sun,06_15_2019,08_03_2019,08_05_2019,08_11_2019,17,45,87.5,34,9,NA
D311,SUN_B_15,WT,B,SUN_B,middle,sun,06_15_2019,08_06_2019,08_07_2019,08_15_2019,17,316,91.2,34,4,NA
D312,SUN_B_16,WT,B,SUN_B,middle,sun,06_15_2019,08_03_2019,08_05_2019,08_10_2019,20.2,63,83.7,34,6,NA
